taxon,country
hCoV-19/Netherlands/NA 2/2020|EPI ISL 415476|Europe|Netherlands|2020-03-10,Netherlands
hCoV-19/England/20110042106/2020|EPI ISL 417309|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/England/20108034006/2020|EPI ISL 417258|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Iceland/335/2020|EPI ISL 417664|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Vietnam/CM296/2020|EPI ISL 416431|Asia|Vietnam|2020-03-06,Vietnam
hCoV-19/England/20099038206/2020|EPI ISL 415129|Europe|UnitedKingdom|2020-02-29,United Kingdom
hCoV-19/USA/WI-16/2020|EPI ISL 417509|NorthAmerica|USA|2020-03-26,United States of America
hCoV-19/Greece/10/2020|EPI ISL 418263|Europe|Greece|2020-03-18,Greece
hCoV-19/Belgium/DHWM-03041/2020|EPI ISL 417422|Europe|Belgium|2020-03-04,Belgium
hCoV-19/Switzerland/TI2045/2020|EPI ISL 415703|Europe|Switzerland|2020-03-01,Switzerland
hCoV-19/Wales/PHW05/2020|EPI ISL 414488|Europe|UnitedKingdom|2020-03-08,United Kingdom
hCoV-19/Wales/PHWC-23E3A/2020|EPI ISL 418118|Europe|UnitedKingdom|2020-03-13,United Kingdom
hCoV-19/Belgium/QKJ-03015/2020|EPI ISL 415158|Europe|Belgium|2020-03-01,Belgium
hCoV-19/Belgium/UMF-03025/2020|EPI ISL 416472|Europe|Belgium|2020-03-02,Belgium
hCoV-19/Italy/INMI4/2020|EPI ISL 418167|Europe|Italy|2020-02-28,Italy
hCoV-19/Portugal/PT0019/2020|EPI ISL 418004|Europe|Portugal|2020-03-12,Portugal
hCoV-19/Iceland/236/2020|EPI ISL 417564|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Greece/12/2020|EPI ISL 418264|Europe|Greece|2020-03-18,Greece
hCoV-19/Spain/Valencia7/2020|EPI ISL 416486|Europe|Spain|2020-03-02,Spain
hCoV-19/England/20109099206/2020|EPI ISL 417299|Europe|UnitedKingdom|2020-03-08,United Kingdom
hCoV-19/Switzerland/1000477377/2020|EPI ISL 413020|Europe|Switzerland|2020-02-27,Switzerland
hCoV-19/Portugal/PT0028/2020|EPI ISL 418013|Europe|Portugal|2020-03-07,Portugal
hCoV-19/England/20106004902/2020|EPI ISL 417241|Europe|UnitedKingdom|2020-03-05,United Kingdom
hCoV-19/Switzerland/GE3895/2020|EPI ISL 413997|Europe|Switzerland|2020-02-26,Switzerland
hCoV-19/Australia/NSW27/2020|EPI ISL 417390|Oceania|Australia|2020-03-08,Australia
hCoV-19/Colombia/Bogota78390/2020|EPI ISL 418262|SouthAmerica|Colombia|2020-03-06,Colombia
hCoV-19/Iceland/187/2020|EPI ISL 417551|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Hungary/49/2020|EPI ISL 416744|Europe|Hungary|2020-03-20,Hungary
hCoV-19/Switzerland/BE6651/2020|EPI ISL 415456|Europe|Switzerland|2020-02-29,Switzerland
hCoV-19/Netherlands/NoordHolland 2/2020|EPI ISL 414549|Europe|Netherlands|2020-03-03,Netherlands
hCoV-19/Mexico/CDMX-InDRE 01/2020|EPI ISL 412972|NorthAmerica|Mexico|2020-02-27,Mexico
hCoV-19/Netherlands/Delft 1363424/2020|EPI ISL 413569|Europe|Netherlands|2020-02-28,Netherlands
hCoV-19/USA/MN5-MDH5/2020|EPI ISL 417191|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/Chile/Santiago-2/2020|EPI ISL 414580|SouthAmerica|Chile|2020-03-05,Chile
hCoV-19/Scotland/EDB007/2020|EPI ISL 415634|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Germany/NRW-13/2020|EPI ISL 417458|Europe|Germany|2020-03-11,Germany
hCoV-19/Netherlands/ZuidHolland 28/2020|EPI ISL 415532|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/Belgium/ULG-3843/2020|EPI ISL 417012|Europe|Belgium|2020-03-08,Belgium
hCoV-19/Belgium/ULG-2971/2020|EPI ISL 416997|Europe|Belgium|2020-03-05,Belgium
hCoV-19/Brazil/SPBR-14/2020|EPI ISL 416036|SouthAmerica|Brazil|2020-03-05,Brazil
hCoV-19/England/200990723/2020|EPI ISL 414012|Europe|UnitedKingdom|2020-02-27,United Kingdom
hCoV-19/Iceland/280/2020|EPI ISL 417608|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Belgium/FR-03029/2020|EPI ISL 417428|Europe|Belgium|2020-03-02,Belgium
hCoV-19/England/SHEF-BFCDF/2020|EPI ISL 416732|Europe|England|2020-03-03,England
hCoV-19/Iceland/267/2020|EPI ISL 417595|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/290/2020|EPI ISL 417619|Europe|Iceland|2020-03-18,Iceland
hCoV-19/Iceland/146/2020|EPI ISL 417796|Europe|Iceland|2020-03-13,Iceland
hCoV-19/USA/MN29-MDH29/2020|EPI ISL 417196|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/NewZealand/20VR0189/2020|EPI ISL 416519|Oceania|NewZealand|2020-03-02,New Zealand
hCoV-19/Iceland/239/2020|EPI ISL 417567|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/99/2020|EPI ISL 417768|Europe|Iceland|2020-03-10,Iceland
hCoV-19/Portugal/PT0026/2020|EPI ISL 418011|Europe|Portugal|2020-03-04,Portugal
hCoV-19/Wales/PHW2/2020|EPI ISL 413556|Europe|UnitedKingdom|2020-03-04,United Kingdom
hCoV-19/Denmark/SSI-05/2020|EPI ISL 416140|Europe|Denmark|2020-03-02,Denmark
hCoV-19/Iceland/313/2020|EPI ISL 417642|Europe|Iceland|2020-03-18,Iceland
hCoV-19/Iceland/253/2020|EPI ISL 417581|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Wales/PHWC-23BAC/2020|EPI ISL 418096|Europe|UnitedKingdom|2020-03-12,United Kingdom
hCoV-19/Iceland/104/2020|EPI ISL 417538|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/123/2020|EPI ISL 417783|Europe|Iceland|2020-03-11,Iceland
hCoV-19/Switzerland/GE1422/2020|EPI ISL 415454|Europe|Switzerland|2020-02-28,Switzerland
hCoV-19/Netherlands/Diemen 1363454/2020|EPI ISL 413570|Europe|Netherlands|2020-02-28,Netherlands
hCoV-19/Netherlands/Helmond 1363548/2020|EPI ISL 413574|Europe|Netherlands|2020-02-29,Netherlands
hCoV-19/England/20109053606/2020|EPI ISL 417279|Europe|UnitedKingdom|2020-03-07,United Kingdom
hCoV-19/USA/WA-UW194/2020|EPI ISL 417343|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/Belgium/GMH-03022/2020|EPI ISL 416468|Europe|Belgium|2020-03-02,Belgium
hCoV-19/Portugal/CV62/2020|EPI ISL 413647|Europe|Portugal|2020-03-01,Portugal
hCoV-19/Iceland/62/2020|EPI ISL 417757|Europe|Iceland|2020-03-06,Iceland
hCoV-19/Iceland/130/2020|EPI ISL 417713|Europe|Iceland|2020-03-12,Iceland
hCoV-19/Iceland/303/2020|EPI ISL 417632|Europe|Iceland|2020-03-18,Iceland
hCoV-19/Iceland/56/2020|EPI ISL 417852|Europe|Iceland|2020-03-06,Iceland
hCoV-19/England/20104008902/2020|EPI ISL 417232|Europe|UnitedKingdom|2020-03-04,United Kingdom
hCoV-19/Belgium/JL-03044/2020|EPI ISL 418270|Europe|Belgium|2020-03-04,Belgium
hCoV-19/Netherlands/Berlicum 1363564/2020|EPI ISL 413565|Europe|Netherlands|2020-02-24,Netherlands
hCoV-19/England/20106005303/2020|EPI ISL 417243|Europe|UnitedKingdom|2020-03-03,United Kingdom
hCoV-19/Iceland/73/2020|EPI ISL 417861|Europe|Iceland|2020-03-09,Iceland
hCoV-19/Netherlands/NA 19/2020|EPI ISL 415475|Europe|Netherlands|2020-03-12,Netherlands
hCoV-19/Belgium/ULG-6216/2020|EPI ISL 417014|Europe|Belgium|2020-03-13,Belgium
hCoV-19/Iceland/19/2020|EPI ISL 417817|Europe|Iceland|2020-03-02,Iceland
hCoV-19/Ireland/Dublin-19072/2020|EPI ISL 414584|Europe|Ireland|2020-03-02,Ireland
hCoV-19/France/Valence 425/2020|EPI ISL 416746|Europe|France|2020-03-03,France
hCoV-19/Brazil/SPBR-03/2020|EPI ISL 414014|SouthAmerica|Brazil|2020-03-02,Brazil
hCoV-19/Netherlands/Eindhoven 1363782/2020|EPI ISL 413571|Europe|Netherlands|2020-03-02,Netherlands
hCoV-19/England/20109093806/2020|EPI ISL 417287|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Netherlands/ZuidHolland 2/2020|EPI ISL 414556|Europe|Netherlands|2020-03-06,Netherlands
hCoV-19/England/20108004602/2020|EPI ISL 417249|Europe|UnitedKingdom|2020-03-03,United Kingdom
hCoV-19/Netherlands/NoordBrabant 3/2020|EPI ISL 414429|Europe|Netherlands|2020-03-02,Netherlands
hCoV-19/Netherlands/NA 26/2020|EPI ISL 415483|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/Iceland/218/2020|EPI ISL 417834|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Iceland/54/2020|EPI ISL 417684|Europe|Iceland|2020-03-06,Iceland
hCoV-19/Iceland/12/2020|EPI ISL 417688|Europe|Iceland|2020-03-01,Iceland
hCoV-19/Belgium/MTR-03026/2020|EPI ISL 416476|Europe|Belgium|2020-03-02,Belgium
hCoV-19/Belgium/MTR-03021/2020|EPI ISL 416467|Europe|Belgium|2020-03-02,Belgium
hCoV-19/Belgium/BC-03016/2020|EPI ISL 415157|Europe|Belgium|2020-03-01,Belgium
hCoV-19/Netherlands/ZuidHolland 20/2020|EPI ISL 414562|Europe|Netherlands|2020-03-03,Netherlands
hCoV-19/Netherlands/NoordBrabant 36/2020|EPI ISL 414545|Europe|Netherlands|2020-03-03,Netherlands
hCoV-19/Netherlands/ZuidHolland 18/2020|EPI ISL 414560|Europe|Netherlands|2020-03-03,Netherlands
hCoV-19/Finland/FIN-313/2020|EPI ISL 414641|Europe|Finland|2020-03-05,Finland
hCoV-19/Finland/FIN03032020C/2020|EPI ISL 413604|Europe|Finland|2020-03-03,Finland
hCoV-19/Germany/NRW-011/2020|EPI ISL 414507|Europe|Germany|2020-03-03,Germany
hCoV-19/Netherlands/ZuidHolland 23/2020|EPI ISL 414565|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/Netherlands/NA 25/2020|EPI ISL 415482|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/Belgium/VI-03027/2020|EPI ISL 417427|Europe|Belgium|2020-03-02,Belgium
hCoV-19/Netherlands/Utrecht 1/2020|EPI ISL 414435|Europe|Netherlands|2020-03-03,Netherlands
hCoV-19/Netherlands/Limburg 5/2020|EPI ISL 414448|Europe|Netherlands|2020-03-04,Netherlands
hCoV-19/Netherlands/Utrecht 14/2020|EPI ISL 414464|Europe|Netherlands|2020-03-04,Netherlands
hCoV-19/Iceland/70/2020|EPI ISL 417728|Europe|Iceland|2020-03-08,Iceland
hCoV-19/Iceland/17/2020|EPI ISL 417811|Europe|Iceland|2020-03-02,Iceland
hCoV-19/Iceland/15/2020|EPI ISL 417800|Europe|Iceland|2020-03-02,Iceland
hCoV-19/Switzerland/SZ1417/2020|EPI ISL 415702|Europe|Switzerland|2020-03-02,Switzerland
hCoV-19/Iceland/333/2020|EPI ISL 417662|Europe|Iceland|2020-03-14,Iceland
hCoV-19/Denmark/SSI-01/2020|EPI ISL 416142|Europe|Denmark|2020-02-26,Denmark
hCoV-19/Portugal/PT0022/2020|EPI ISL 418007|Europe|Portugal|2020-03-13,Portugal
hCoV-19/Peru/010/2020|EPI ISL 415787|SouthAmerica|Peru|2020-03-10,Peru
hCoV-19/France/IDF2561/2020|EPI ISL 418235|Europe|France|2020-03-16,France
hCoV-19/Taiwan/CGMH-CGU-12/2020|EPI ISL 417525|Asia|Taiwan|2020-03-14,Taiwan
hCoV-19/Belgium/ULG-6457/2020|EPI ISL 417015|Europe|Belgium|2020-03-13,Belgium
hCoV-19/Nigeria/Lagos01/2020|EPI ISL 413550|Africa|Nigeria|2020-02-27,Nigeria
hCoV-19/Belgium/VBK-03061/2020|EPI ISL 417425|Europe|Belgium|2020-03-06,Belgium
hCoV-19/Finland/FIN-25/2020|EPI ISL 412971|Europe|Finland|2020-02-25,Finland
hCoV-19/Netherlands/NoordBrabant 17/2020|EPI ISL 414457|Europe|Netherlands|2020-03-06,Netherlands
hCoV-19/Luxembourg/LNS6282845/2020|EPI ISL 417533|Europe|Luxembourg|2020-03-18,Luxembourg
hCoV-19/Luxembourg/LNS5731562/2020|EPI ISL 417529|Europe|Luxembourg|2020-03-18,Luxembourg
hCoV-19/CzechRepublic/951/2020|EPI ISL 414477|Europe|CzechRepublic|2020-03-01,Czech Republic
hCoV-19/France/GE1973/2020|EPI ISL 414631|Europe|France|2020-03-04,France
hCoV-19/Italy/TE4925/2020|EPI ISL 418255|Europe|Italy|2020-03-14,Italy
hCoV-19/England/20104002606/2020|EPI ISL 417220|Europe|UnitedKingdom|2020-03-03,United Kingdom
hCoV-19/England/20110043706/2020|EPI ISL 417310|Europe|UnitedKingdom|2020-03-07,United Kingdom
hCoV-19/Iceland/127/2020|EPI ISL 417727|Europe|Iceland|2020-03-12,Iceland
hCoV-19/USA/CT-Yale-006/2020|EPI ISL 416420|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/Denmark/SSI-03/2020|EPI ISL 416144|Europe|Denmark|2020-03-01,Denmark
hCoV-19/Luxembourg/Lux1/2020|EPI ISL 413593|Europe|Luxembourg|2020-02-29,Luxembourg
hCoV-19/Norway/1526/2020|EPI ISL 417485|Europe|Norway|2020-03-02,Norway
hCoV-19/Scotland/EDB003/2020|EPI ISL 415640|Europe|UnitedKingdom|2020-03-08,United Kingdom
hCoV-19/Denmark/SSI-101/2020|EPI ISL 415646|Europe|Denmark|2020-03-03,Denmark
hCoV-19/Iceland/228/2020|EPI ISL 417556|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Wales/PHW27/2020|EPI ISL 415655|Europe|UnitedKingdom|2020-03-12,United Kingdom
hCoV-19/Finland/FIN03032020A/2020|EPI ISL 413602|Europe|Finland|2020-03-03,Finland
hCoV-19/Spain/CastillayLeon201061/2020|EPI ISL 418247|Europe|Spain|2020-02-26,Spain
hCoV-19/Spain/Madrid201105/2020|EPI ISL 418251|Europe|Spain|2020-02-25,Spain
hCoV-19/Spain/Madrid LP12 21/2020|EPI ISL 417972|Europe|Spain|2020-03-09,Spain
hCoV-19/USA/CA-PC101P/2020|EPI ISL 414648|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/Switzerland/TI9486/2020|EPI ISL 413996|Europe|Switzerland|2020-02-24,Switzerland
hCoV-19/Wales/PHWC-24015/2020|EPI ISL 418138|Europe|UnitedKingdom|2020-03-15,United Kingdom
hCoV-19/Iceland/112/2020|EPI ISL 417770|Europe|Iceland|2020-03-11,Iceland
hCoV-19/Spain/Madrid LP15 4/2020|EPI ISL 417978|Europe|Spain|2020-03-09,Spain
hCoV-19/Italy/INMI5/2020|EPI ISL 417923|Europe|Italy|2020-03-04,Italy
hCoV-19/Switzerland/GE5373/2020|EPI ISL 414020|Europe|Switzerland|2020-02-27,Switzerland
hCoV-19/Wales/PHWC-241A9/2020|EPI ISL 418152|Europe|UnitedKingdom|2020-03-15,United Kingdom
hCoV-19/Spain/Madrid H7 36/2020|EPI ISL 417957|Europe|Spain|2020-03-12,Spain
hCoV-19/Spain/Madrid H3 10/2020|EPI ISL 417954|Europe|Spain|2020-03-12,Spain
hCoV-19/Iceland/193/2020|EPI ISL 417820|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Hungary/mbl1/2020|EPI ISL 416426|Europe|Hungary|2020-03-17,Hungary
hCoV-19/Australia/NSW47/2020|EPI ISL 417402|Oceania|Australia|2020-03-13,Australia
hCoV-19/Hungary/2/2020|EPI ISL 418183|Europe|Hungary|2020-03-17,Hungary
hCoV-19/Georgia/Tb-712/2020|EPI ISL 416481|Asia|Georgia|2020-03-16,Georgia
hCoV-19/Iceland/102/2020|EPI ISL 417777|Europe|Iceland|2020-03-10,Iceland
hCoV-19/Iceland/137/2020|EPI ISL 417744|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Spain/Madrid H11 40/2020|EPI ISL 417967|Europe|Spain|2020-03-12,Spain
hCoV-19/Portugal/PT0024/2020|EPI ISL 418009|Europe|Portugal|2020-03-15,Portugal
hCoV-19/USA/WI-02/2020|EPI ISL 416489|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/Spain/Madrid201442/2020|EPI ISL 417010|Europe|Spain|2020-03-04,Spain
hCoV-19/Iceland/318/2020|EPI ISL 417647|Europe|Iceland|2020-03-18,Iceland
hCoV-19/Iceland/281/2020|EPI ISL 417609|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Panama/328677/2020|EPI ISL 415152|CentralAmerica|Panama|2020-03-06,Panama
hCoV-19/Iceland/169/2020|EPI ISL 417755|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Iceland/139/2020|EPI ISL 417790|Europe|Iceland|2020-03-12,Iceland
hCoV-19/Iceland/304/2020|EPI ISL 417633|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/168/2020|EPI ISL 417810|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Iceland/189/2020|EPI ISL 417709|Europe|Iceland|2020-03-16,Iceland
hCoV-19/England/20102073303/2020|EPI ISL 417214|Europe|UnitedKingdom|2020-03-02,United Kingdom
hCoV-19/Belgium/SH-03014/2020|EPI ISL 415156|Europe|Belgium|2020-03-01,Belgium
hCoV-19/Netherlands/NA 28/2020|EPI ISL 415485|Europe|Netherlands|2020-03-12,Netherlands
hCoV-19/Netherlands/NA 18/2020|EPI ISL 415474|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/NorthernIreland/HSCNI01/2020|EPI ISL 414949|Europe|UnitedKingdom|2020-02-26,United Kingdom
hCoV-19/Wales/PHW13/2020|EPI ISL 415537|Europe|UnitedKingdom|2020-03-08,United Kingdom
hCoV-19/Wales/PHW06/2020|EPI ISL 415435|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Wales/PHW10/2020|EPI ISL 415453|Europe|UnitedKingdom|2020-03-10,United Kingdom
hCoV-19/Iceland/200/2020|EPI ISL 417743|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Iceland/289/2020|EPI ISL 417617|Europe|Iceland|2020-03-18,Iceland
hCoV-19/Netherlands/ZuidHolland 31/2020|EPI ISL 415535|Europe|Netherlands|2020-03-12,Netherlands
hCoV-19/Iceland/157/2020|EPI ISL 417804|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Iceland/199/2020|EPI ISL 417706|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Iceland/198/2020|EPI ISL 417823|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Netherlands/NA 31/2020|EPI ISL 415488|Europe|Netherlands|2020-03-13,Netherlands
hCoV-19/Netherlands/NoordBrabant 21/2020|EPI ISL 414530|Europe|Netherlands|2020-03-04,Netherlands
hCoV-19/Iceland/254/2020|EPI ISL 417582|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Netherlands/ZuidHolland 5/2020|EPI ISL 414465|Europe|Netherlands|2020-03-04,Netherlands
hCoV-19/Netherlands/ZuidHolland 9/2020|EPI ISL 414445|Europe|Netherlands|2020-03-03,Netherlands
hCoV-19/Lithuania/ChVir1632/2020|EPI ISL 416741|Europe|Lithuania|2020-02,Lithuania
hCoV-19/Belgium/KA-03042/2020|EPI ISL 417424|Europe|Belgium|2020-03-04,Belgium
hCoV-19/Congo/108/2020|EPI ISL 417948|Africa|Congo|2020-03-19,Dem. Rep. Congo
hCoV-19/Congo/KN-0038/2020|EPI ISL 417434|Africa|Congo|2020-03-14,Dem. Rep. Congo
hCoV-19/Finland/FIN-266/2020|EPI ISL 414646|Europe|Finland|2020-03-04,Finland
hCoV-19/Italy/UnivPM1/2020|EPI ISL 417491|Europe|Italy|2020-03-03,Italy
hCoV-19/Iceland/235/2020|EPI ISL 417563|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Iceland/3/2020|EPI ISL 417694|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Iceland/211/2020|EPI ISL 417763|Europe|Iceland|2020-03-16,Iceland
hCoV-19/England/SHEF-BFD09/2020|EPI ISL 416735|Europe|England|2020-03-09,England
hCoV-19/Slovakia/SK-BMC1/2020|EPI ISL 417877|Europe|Slovakia|2020-03-06,Slovakia
hCoV-19/Iceland/149/2020|EPI ISL 417799|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Iceland/164/2020|EPI ISL 417758|Europe|Iceland|2020-03-14,Iceland
hCoV-19/Belgium/ULG-4163/2020|EPI ISL 417013|Europe|Belgium|2020-03-09,Belgium
hCoV-19/Belgium/ULG-6503/2020|EPI ISL 417016|Europe|Belgium|2020-03-13,Belgium
hCoV-19/Belgium/ULG-6754/2020|EPI ISL 417019|Europe|Belgium|2020-03-14,Belgium
hCoV-19/Italy/TE4836/2020|EPI ISL 418260|Europe|Italy|2020-03-16,Italy
hCoV-19/Portugal/PT0005/2020|EPI ISL 417989|Europe|Portugal|2020-03-04,Portugal
hCoV-19/Switzerland/AG0361/2020|EPI ISL 413999|Europe|Switzerland|2020-02-27,Switzerland
hCoV-19/England/200981386/2020|EPI ISL 414010|Europe|UnitedKingdom|2020-02-26,United Kingdom
hCoV-19/Italy/CDG1/2020|EPI ISL 412973|Europe|Italy|2020-02-20,Italy
hCoV-19/Belgium/DB-03023/2020|EPI ISL 416470|Europe|Belgium|2020-03-02,Belgium
hCoV-19/Iceland/264/2020|EPI ISL 417592|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Switzerland/GE4984/2020|EPI ISL 415708|Europe|Switzerland|2020-03-07,Switzerland
hCoV-19/Belgium/RT-03035/2020|EPI ISL 417430|Europe|Belgium|2020-03-03,Belgium
hCoV-19/Italy/UniSR1/2020|EPI ISL 413489|Europe|Italy|2020-03-03,Italy
hCoV-19/USA/UT-00011/2020|EPI ISL 417959|NorthAmerica|USA|2020-03-24,United States of America
hCoV-19/Senegal/073/2020|EPI ISL 418210|Africa|Senegal|2020-03-10,Senegal
hCoV-19/Senegal/094/2020|EPI ISL 418213|Africa|Senegal|2020-03-12,Senegal
hCoV-19/Senegal/119/2020|EPI ISL 418215|Africa|Senegal|2020-03-12,Senegal
hCoV-19/Iceland/150/2020|EPI ISL 417711|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Luxembourg/LNS2128808/2020|EPI ISL 417530|Europe|Luxembourg|2020-03-18,Luxembourg
hCoV-19/USA/UT-00032/2020|EPI ISL 417974|NorthAmerica|USA|2020-03-24,United States of America
hCoV-19/NetherlandsL/Houten 1363498/2020|EPI ISL 413575|Europe|Netherlands|2020-02-29,Netherlands
hCoV-19/Iceland/53/2020|EPI ISL 417851|Europe|Iceland|2020-03-05,Iceland
hCoV-19/Iceland/224/2020|EPI ISL 417839|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Ireland/Limerick-19933/2020|EPI ISL 414585|Europe|Ireland|2020-03-03,Ireland
hCoV-19/Netherlands/NA 16/2020|EPI ISL 415472|Europe|Netherlands|2020-03-11,Netherlands
hCoV-19/Iceland/LUH-01/2020|EPI ISL 417481|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Netherlands/ZuidHolland 17/2020|EPI ISL 414559|Europe|Netherlands|2020-03-07,Netherlands
hCoV-19/Japan/SMU-0311S3/2020|EPI ISL 416525|Asia|Japan|2020-03-11,Japan
hCoV-19/Australia/NSW39/2020|EPI ISL 417397|Oceania|Australia|2020-03-11,Australia
hCoV-19/Portugal/PT0032/2020|EPI ISL 418017|Europe|Portugal|2020-03-16,Portugal
hCoV-19/SouthAfrica/R03006-20/2020|EPI ISL 417186|Africa|SouthAfrica|2020-03-07,SouthAfrica
hCoV-19/Georgia/Tb-273/2020|EPI ISL 416479|Asia|Georgia|2020-03-05,Georgia
hCoV-19/Denmark/SSI-102/2020|EPI ISL 415647|Europe|Denmark|2020-03-03,Denmark
hCoV-19/England/20102000506/2020|EPI ISL 415147|Europe|UnitedKingdom|2020-03-01,United Kingdom
hCoV-19/England/20099107406/2020|EPI ISL 415131|Europe|UnitedKingdom|2020-02-29,United Kingdom
hCoV-19/Portugal/PT0014/2020|EPI ISL 417999|Europe|Portugal|2020-03-07,Portugal
hCoV-19/Georgia/Tb/2020|EPI ISL 416482|Asia|Georgia|2020-03-13,Georgia
hCoV-19/Iceland/14/2020|EPI ISL 417736|Europe|Iceland|2020-03-01,Iceland
hCoV-19/Denmark/SSI-04/2020|EPI ISL 416153|Europe|Denmark|2020-03-02,Denmark
hCoV-19/Belgium/VLM-03011/2020|EPI ISL 415153|Europe|Belgium|2020-03-03,Belgium
hCoV-19/Belgium/VAG-03013/2020|EPI ISL 415155|Europe|Belgium|2020-03-01,Belgium
hCoV-19/Belgium/SN-03031/2020|EPI ISL 416469|Europe|Belgium|2020-03-03,Belgium
hCoV-19/Belgium/BM-03012/2020|EPI ISL 415154|Europe|Belgium|2020-03-01,Belgium
hCoV-19/Italy/UniMI01/2020|EPI ISL 417445|Europe|Italy|2020-02-24,Italy
hCoV-19/Belgium/BA-02291/2020|EPI ISL 415159|Europe|Belgium|2020-02-29,Belgium
hCoV-19/France/HF2039/2020|EPI ISL 415649|Europe|France|2020-03-05,France
hCoV-19/Netherlands/Haarlem 1363688/2020|EPI ISL 413572|Europe|Netherlands|2020-03-01,Netherlands
hCoV-19/USA/WA-UW210/2020|EPI ISL 417359|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/Iceland/161/2020|EPI ISL 417725|Europe|Iceland|2020-03-14,Iceland
hCoV-19/USA/WI-10/2020|EPI ISL 417204|NorthAmerica|USA|2020-03-21,United States of America
hCoV-19/Georgia/Tb-673/2020|EPI ISL 416478|Asia|Georgia|2020-03-14,Georgia
hCoV-19/USA/WI-13/2020|EPI ISL 417516|NorthAmerica|USA|2020-03-26,United States of America
hCoV-19/USA/NY-NYUMC11/2020|EPI ISL 418196|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/France/HF1989/2020|EPI ISL 414636|Europe|France|2020-03-04,France
hCoV-19/France/HF1988/2020|EPI ISL 414635|Europe|France|2020-03-04,France
hCoV-19/France/HF2234/2020|EPI ISL 416495|Europe|France|2020-03-10,France
hCoV-19/Netherlands/NA 30/2020|EPI ISL 415487|Europe|Netherlands|2020-03-13,Netherlands
hCoV-19/USA/WA-UW273/2020|EPI ISL 418058|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WI-03/2020|EPI ISL 416523|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/Iceland/212/2020|EPI ISL 417830|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Iceland/270/2020|EPI ISL 417598|Europe|Iceland|2020-03-17,Iceland
hCoV-19/USA/WA-UW256/2020|EPI ISL 418041|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/Iceland/48/2020|EPI ISL 417707|Europe|Iceland|2020-03-05,Iceland
hCoV-19/Iceland/52/2020|EPI ISL 417850|Europe|Iceland|2020-03-05,Iceland
hCoV-19/France/HF1986/2020|EPI ISL 414634|Europe|France|2020-03-04,France
hCoV-19/Iceland/63/2020|EPI ISL 417855|Europe|Iceland|2020-03-07,Iceland
hCoV-19/Iceland/134/2020|EPI ISL 417735|Europe|Iceland|2020-03-12,Iceland
hCoV-19/France/HF2237/2020|EPI ISL 416496|Europe|France|2020-03-10,France
