taxon,country
hCoV-19/Australia/NSW36/2020|EPI ISL 417394|Oceania|Australia|2020-03-10,Australia
hCoV-19/Portugal/PT0035/2020|EPI ISL 418020|Europe|Portugal|2020-03-16,Portugal
hCoV-19/Portugal/PT0036/2020|EPI ISL 418021|Europe|Portugal|2020-03-16,Portugal
hCoV-19/Wales/PHWC-23E94/2020|EPI ISL 418123|Europe|UnitedKingdom|2020-03-14,United Kingdom
hCoV-19/Canada/BC 78548/2020|EPI ISL 415590|NorthAmerica|Canada|2020-03-05,Canada
hCoV-19/Scotland/CVR07/2020|EPI ISL 415630|Europe|UnitedKingdom|2020-03-09,United Kingdom
hCoV-19/England/20100001406/2020|EPI ISL 415132|Europe|UnitedKingdom|2020-02-28,United Kingdom
hCoV-19/England/20112112106/2020|EPI ISL 417314|Europe|UnitedKingdom|2020-03-10,United Kingdom
hCoV-19/England/20109051806/2020|EPI ISL 417270|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Congo/KN-0059/2020|EPI ISL 417439|Africa|Congo|2020-03-17,Dem. Rep. Congo
hCoV-19/USA/MN39-MDH39/2020|EPI ISL 417475|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/NY-NYUMC1/2020|EPI ISL 414639|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/Netherlands/NA 21/2020|EPI ISL 415478|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/Australia/VIC12/2020|EPI ISL 416518|Oceania|Australia|2020-03-16,Australia
hCoV-19/England/09c/2020|EPI ISL 412116|Europe|UnitedKingdom|2020-02-09,United Kingdom
hCoV-19/Australia/NSW41/2020|EPI ISL 417399|Oceania|Australia|2020-03-10,Australia
hCoV-19/England/20109050806/2020|EPI ISL 417269|Europe|UnitedKingdom|2020-03-05,United Kingdom
hCoV-19/England/20109050706/2020|EPI ISL 417268|Europe|UnitedKingdom|2020-03-05,United Kingdom
hCoV-19/Norway/1379/2020|EPI ISL 417483|Europe|Norway|2020-02-27,Norway
hCoV-19/USA/WA-UW295/2020|EPI ISL 418080|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/Netherlands/NoordBrabant 5/2020|EPI ISL 414430|Europe|Netherlands|2020-03-05,Netherlands
hCoV-19/Finland/FIN01032020/2020|EPI ISL 413605|Europe|Finland|2020-03-01,Finland
hCoV-19/NewZealand/CoV002/2020|EPI ISL 417212|Oceania|NewZealand|2020-03-11,New Zealand
hCoV-19/Spain/Andalucia201272/2020|EPI ISL 418243|Europe|Spain|2020-02-28,Spain
hCoV-19/England/20102000106/2020|EPI ISL 415144|Europe|UnitedKingdom|2020-02-27,United Kingdom
hCoV-19/England/20109052306/2020|EPI ISL 417275|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/England/20108006802/2020|EPI ISL 417254|Europe|UnitedKingdom|2020-03-04,United Kingdom
hCoV-19/USA/WA3-UW1/2020|EPI ISL 413025|NorthAmerica|USA|2020-02-27,United States of America
hCoV-19/England/200960515/2020|EPI ISL 414009|Europe|UnitedKingdom|2020-02-25,United Kingdom
hCoV-19/Brazil/SPBR-02/2020|EPI ISL 413016|SouthAmerica|Brazil|2020-02-28,Brazil
hCoV-19/Netherlands/NA 29/2020|EPI ISL 415486|Europe|Netherlands|2020-03-13,Netherlands
hCoV-19/USA/CZB-RR057-005/2020|EPI ISL 417931|NorthAmerica|USA|2020-03-18,United States of America
hCoV-19/England/20109094106/2020|EPI ISL 417290|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Taiwan/CGMH-CGU-09/2020|EPI ISL 417522|Asia|Taiwan|2020-03-13,Taiwan
hCoV-19/Luxembourg/LNS3694003/2020|EPI ISL 417528|Europe|Luxembourg|2020-03-18,Luxembourg
hCoV-19/Iceland/203/2020|EPI ISL 417825|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Spain/Madrid LP14 3/2020|EPI ISL 417975|Europe|Spain|2020-03-09,Spain
hCoV-19/Wales/PHWC-2415E/2020|EPI ISL 418149|Europe|UnitedKingdom|2020-03-16,United Kingdom
hCoV-19/Portugal/PT0020/2020|EPI ISL 418005|Europe|Portugal|2020-03-12,Portugal
hCoV-19/Netherlands/NA 35/2020|EPI ISL 415492|Europe|Netherlands|2020-03-10,Netherlands
hCoV-19/Netherlands/NoordBrabant 56/2020|EPI ISL 415512|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/Netherlands/NoordBrabant 22/2020|EPI ISL 414531|Europe|Netherlands|2020-03-04,Netherlands
hCoV-19/Netherlands/NoordBrabant 23/2020|EPI ISL 414532|Europe|Netherlands|2020-03-05,Netherlands
hCoV-19/Brazil/SPBR-10/2020|EPI ISL 416032|SouthAmerica|Brazil|2020-03-04,Brazil
hCoV-19/Iceland/160/2020|EPI ISL 417689|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Iceland/38/2020|EPI ISL 417672|Europe|Iceland|2020-03-16,Iceland
hCoV-19/USA/WA-UW197/2020|EPI ISL 417346|NorthAmerica|USA|2020-03-12,United States of America
