taxa	location
USA/CA2/2020|EPI_ISL_406036|USA|California|Orange_County|2020-01-22	Export
USA/CA3/2020|EPI_ISL_408008|USA|California||2020-01-29	Export
USA/CA5/2020|EPI_ISL_408010|USA|California||2020-01-29	Export
USA/CA9/2020|EPI_ISL_412862|USA|California|Solano|2020-02-23	Export
USA/IL1/2020|EPI_ISL_404253|USA|Illinois|Chicago|2020-01-21	Export
USA/WI1/2020|EPI_ISL_408670|USA|Wisconsin||2020-01-31	Export
USA-CA7/2020|EPI_ISL_411954|USA|California||2020-02-06	Export
USA-CA8/2020|EPI_ISL_411955|USA|California||2020-02-10	Export
USA-MA1/2020|EPI_ISL_409067|USA|Massachusetts||2020-01-29	Export
USA-TX1/2020|EPI_ISL_411956|USA|Texas||2020-02-11	Export
USA-WA1/2020|EPI_ISL_404895|USA|Washington|Snohomish_County|2020-01-19	Export
Vietnam/VR03-38142/2020|EPI_ISL_408668|Vietnam|Thanh_Hoa||2020-01-24	Export
Wuhan/HBCDC-HB-01/2019|EPI_ISL_402132|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/HBCDC-HB-02/2019|EPI_ISL_412898|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/HBCDC-HB-03/2019|EPI_ISL_412899|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/IPBCAMS-WH-01/2019|EPI_ISL_402123|China|Hubei|Wuhan|2019-12-24	Hubei
Wuhan/IPBCAMS-WH-02/2019|EPI_ISL_403931|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/IPBCAMS-WH-03/2019|EPI_ISL_403930|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/IPBCAMS-WH-04/2019|EPI_ISL_403929|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/IPBCAMS-WH-05/2020|EPI_ISL_403928|China|Hubei|Wuhan|2020-01-01	Hubei
Wuhan/IVDC-HB-01/2019|EPI_ISL_402119|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/IVDC-HB-04/2020|EPI_ISL_402120|China|Hubei|Wuhan|2020-01-01	Hubei
Wuhan/IVDC-HB-05/2019|EPI_ISL_402121|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/IVDC-HB-envF13-20/2020|EPI_ISL_408514|China|Hubei|Wuhan|2020-01-01	Hubei
Wuhan/IVDC-HB-envF13-21/2020|EPI_ISL_408515|China|Hubei|Wuhan|2020-01-01	Hubei
Wuhan/WH01/2019|EPI_ISL_406798|China|Hubei|Wuhan|2019-12-26	Hubei
Wuhan/WH03/2020|EPI_ISL_406800|China|Hubei|Wuhan|2020-01-01	Hubei
Wuhan/WH04/2020|EPI_ISL_406801|China|Hubei|Wuhan|2020-01-05	Hubei
Wuhan/WH05/2020|EPI_ISL_408978|China|Hubei|Wuhan|2020-02-07	Hubei
Wuhan/WIV02/2019|EPI_ISL_402127|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/WIV04/2019|EPI_ISL_402124|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/WIV05/2019|EPI_ISL_402128|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/WIV06/2019|EPI_ISL_402129|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan/WIV07/2019|EPI_ISL_402130|China|Hubei|Wuhan|2019-12-30	Hubei
Wuhan-Hu-1|MN908947|China|Hubei|Wuhan|2019-12-26	Hubei
Yunnan/IVDC-YN-003/2020|EPI_ISL_408480|China|Yunnan|Kunming|2020-01-17	Yunnan
Zhejiang/Hangzhou-1/2020|EPI_ISL_406970|China|Zhejiang|Hangzhou|2020-01-20	Zhejiang
Zhejiang/WZ-01/2020|EPI_ISL_404227|China|Zhejiang||2020-01-16	Zhejiang
Zhejiang/WZ-02/2020|EPI_ISL_404228|China|Zhejiang||2020-01-17	Zhejiang
Tianmen/HBCDC-HB-07/2020|EPI_ISL_412983|China|Hubei|Wuhan|2020-02-08	Hubei
Wuhan/HBCDC-HB-02/2020|EPI_ISL_412978|China|Hubei|Wuhan|2020-01-17	Hubei
Wuhan/HBCDC-HB-03/2020|EPI_ISL_412979|China|Hubei|Wuhan|2020-01-18	Hubei
Wuhan/HBCDC-HB-04/2020|EPI_ISL_412980|China|Hubei|Wuhan|2020-01-18	Hubei
Wuhan/HBCDC-HB-05/2020|EPI_ISL_412981|China|Hubei|Wuhan|2020-01-18	Hubei
Wuhan/HBCDC-HB-06/2020|EPI_ISL_412982|China|Hubei|Wuhan|2020-02-07	Hubei
GD-CDC/GD2020087/P0008|699-1-64R|China|Guangdong||2020-02-01	Guangdong
GD-CDC/GD2020080/P0010|700-1-65R|China|Guangdong||2020-02-01	Guangdong
GD-CDC/GD2020246/P0028|702-1-68R|China|Guangdong||2020-02-09	Guangdong
GD-CDC/GDFS2020127/P0026|703-1-69R|China|Guangdong||2020-02-12	Guangdong
GD-CDC/GD2020139/P0007|704-1-72R|China|Guangdong||2020-02-02	Guangdong
GD-CDC/GDFS2020054/P0005|705-1-74R|China|Guangdong||2020-02-10	Guangdong
GD-CDC/GD2020012/|706-1-75R|China|Guangdong||2020-02-01	Guangdong
GD-CDC/2020XN4373/|708-1-77R|China|Guangdong||2020-01-30	Guangdong
GD-CDC/2020XN4433/|709-1-78R|China|Guangdong||2020-01-30	Guangdong
GD-CDC/2020XN4243/|711-1-80R|China|Guangdong||2020-01-30	Guangdong
GD-CDC/2020XN4475/|712-1-81R|China|Guangdong||2020-01-30	Guangdong
GD-CDC/GD2020086/P0021|713-1-82R|China|Guangdong||2020-02-01	Guangdong
GD-CDC/2020XN4291/|715-1-84R|China|Guangdong||2020-01-30	Guangdong
